Path,Size
/pub2/ndp026c/land_197101_197704/JUL76L.Z,23979977
/pub2/ndp026c/land_197101_197704/JUN71L.Z,19460761
/pub2/ndp026c/land_197101_197704/JUN72L.Z,21340413
/pub2/ndp026c/land_197101_197704/JUN73L.Z,22806633
/pub2/ndp026c/land_197101_197704/JUN74L.Z,23268545
/pub2/ndp026c/land_197101_197704/JUN75L.Z,23576943
/pub2/ndp026c/land_197101_197704/JUN76L.Z,23286812
/pub2/ndp026c/land_197101_197704/MAR71L.Z,20435005
/pub2/ndp026c/land_197101_197704/MAR72L.Z,20300564
/pub2/ndp026c/land_197101_197704/MAR73L.Z,21253169
/pub2/ndp026c/land_197101_197704/MAR74L.Z,23345761
/pub2/ndp026c/land_197101_197704/MAR75L.Z,24515535
/pub2/ndp026c/land_197101_197704/MAR76L.Z,23515559
/pub2/ndp026c/land_197101_197704/MAR77L.Z,25486713
/pub2/ndp026c/land_197101_197704/MAY71L.Z,20253658
/pub2/ndp026c/land_197101_197704/MAY72L.Z,21467019
/pub2/ndp026c/land_197101_197704/MAY73L.Z,23765824
/pub2/ndp026c/land_197101_197704/MAY74L.Z,14725597
/pub2/ndp026c/land_197101_197704/MAY75L.Z,25727309
/pub2/ndp026c/land_197101_197704/MAY76L.Z,24059070
/pub2/ndp026c/land_197101_197704/NOV71L.Z,20803602
/pub2/ndp026c/land_197101_197704/NOV72L.Z,22439753
/pub2/ndp026c/land_197101_197704/NOV73L.Z,22935905
/pub2/ndp026c/land_197101_197704/NOV74L.Z,20069455
/pub2/ndp026c/land_197101_197704/NOV75L.Z,20222059
/pub2/ndp026c/land_197101_197704/NOV76L.Z,22730985
/pub2/ndp026c/land_197101_197704/OCT71L.Z,21581343
/pub2/ndp026c/land_197101_197704/OCT72L.Z,22181889
/pub2/ndp026c/land_197101_197704/OCT73L.Z,24318195
/pub2/ndp026c/land_197101_197704/OCT74L.Z,24647537
/pub2/ndp026c/land_197101_197704/OCT75L.Z,14849619
/pub2/ndp026c/land_197101_197704/OCT76L.Z,24806360
/pub2/ndp026c/land_197101_197704/SEP71L.Z,20079621
/pub2/ndp026c/land_197101_197704/SEP72L.Z,22235519
/pub2/ndp026c/land_197101_197704/SEP73L.Z,22876581
/pub2/ndp026c/land_197101_197704/SEP74L.Z,23277257
/pub2/ndp026c/land_197101_197704/SEP75L.Z,13706555
/pub2/ndp026c/land_197101_197704/SEP76L.Z,23624915
/pub2/ndp026c/land_197705_198210/APR78L.Z,25304330
/pub2/ndp026c/land_197705_198210/APR79L.Z,27561105
/pub2/ndp026c/land_197705_198210/APR80L.Z,27686423
/pub2/ndp026c/land_197705_198210/APR81L.Z,27047308
/pub2/ndp026c/land_197705_198210/APR82L.Z,25390561
/pub2/ndp026c/land_197705_198210/AUG77L.Z,28154729
/pub2/ndp026c/land_197705_198210/AUG78L.Z,28070050
/pub2/ndp026c/land_197705_198210/AUG79L.Z,27477204
/pub2/ndp026c/land_197705_198210/AUG80L.Z,28322026
/pub2/ndp026c/land_197705_198210/AUG81L.Z,28143857
/pub2/ndp026c/land_197705_198210/AUG82L.Z,26362913
/pub2/ndp026c/land_197705_198210/DEC77L.Z,27285397
/pub2/ndp026c/land_197705_198210/DEC78L.Z,28955916
/pub2/ndp026c/land_197705_198210/DEC79L.Z,28482893
/pub2/ndp026c/land_197705_198210/DEC80L.Z,28098659
/pub2/ndp026c/land_197705_198210/DEC81L.Z,28343028
/pub2/ndp026c/land_197705_198210/FEB78L.Z,25347519
/pub2/ndp026c/land_197705_198210/FEB79L.Z,25678512
/pub2/ndp026c/land_197705_198210/FEB80L.Z,25930022
/pub2/ndp026c/land_197705_198210/FEB81L.Z,25174892
/pub2/ndp026c/land_197705_198210/FEB82L.Z,23209073
/pub2/ndp026c/land_197705_198210/JAN78L.Z,28206992
/pub2/ndp026c/land_197705_198210/JAN79L.Z,28244161
/pub2/ndp026c/land_197705_198210/JAN80L.Z,28064730
/pub2/ndp026c/land_197705_198210/JAN81L.Z,28046888
/pub2/ndp026c/land_197705_198210/JAN82L.Z,23874937
/pub2/ndp026c/land_197705_198210/JUL77L.Z,23622263
/pub2/ndp026c/land_197705_198210/JUL78L.Z,28224145
/pub2/ndp026c/land_197705_198210/JUL79L.Z,27799773
/pub2/ndp026c/land_197705_198210/JUL80L.Z,28307489
/pub2/ndp026c/land_197705_198210/JUL81L.Z,28541716
/pub2/ndp026c/land_197705_198210/JUL82L.Z,22912721
/pub2/ndp026c/land_197705_198210/JUN77L.Z,24230311
/pub2/ndp026c/land_197705_198210/JUN78L.Z,26965790
/pub2/ndp026c/land_197705_198210/JUN79L.Z,26862465
/pub2/ndp026c/land_197705_198210/JUN80L.Z,27540827
/pub2/ndp026c/land_197705_198210/JUN81L.Z,27629143
/pub2/ndp026c/land_197705_198210/JUN82L.Z,25419523
/pub2/ndp026c/land_197705_198210/MAR78L.Z,28495353
/pub2/ndp026c/land_197705_198210/MAR79L.Z,28289479
/pub2/ndp026c/land_197705_198210/MAR80L.Z,28664035
/pub2/ndp026c/land_197705_198210/MAR81L.Z,28591718
/pub2/ndp026c/land_197705_198210/MAR82L.Z,25524613
/pub2/ndp026c/land_197705_198210/MAY77L.Z,25162684
/pub2/ndp026c/land_197705_198210/MAY78L.Z,28176365
/pub2/ndp026c/land_197705_198210/MAY79L.Z,28662879
/pub2/ndp026c/land_197705_198210/MAY80L.Z,28615939
